benchmark,alg,best_total_cost,avg_time_sec,solution,optimal_value,diff,percent_diff
B-n45-k5.vrp,AntColonyAlgorithm,896.3880967,2.1388728,"[1, 40, 31, 24, 37, 2, 11, 18, 45, 1] [1, 10, 15, 28, 25, 4, 39, 32, 1] [1, 6, 42, 23, 44, 9, 22, 5, 17, 12, 26, 1] [1, 29, 14, 3, 16, 33, 38, 8, 35, 19, 1] [1, 43, 41, 7, 13, 30, 20, 34, 27, 21, 36, 1]",751,145.3880966931713,19.3592672
B-n45-k6.vrp,AntColonyAlgorithm,718.0336033,2.0881996,"[1, 44, 17, 31, 6, 43, 1] [1, 20, 36, 45, 34, 41, 4, 16, 1] [1, 15, 18, 25, 3, 11, 37, 12, 35, 8, 21, 19, 1] [1, 5, 28, 23, 9, 40, 13, 33, 29, 38, 24, 1] [1, 30, 14, 26, 27, 2, 1] [1, 39, 42, 32, 22, 10, 1]",678,40.03360329788711,5.9046613
B-n50-k7.vrp,AntColonyAlgorithm,917.2828385,2.3755871,"[1, 8, 31, 26, 19, 15, 44, 25, 28, 17, 11, 4, 1] [1, 48, 32, 42, 34, 23, 13, 39, 10, 24, 36, 16, 1] [1, 41, 50, 35, 45, 20, 18, 49, 33, 1] [1, 7, 29, 3, 6, 37, 1] [1, 43, 40, 27, 14, 2, 1] [1, 46, 22, 21, 9, 12, 38, 5, 30, 1] [1, 47, 1]",741,176.28283852257357,23.7898568
B-n50-k8.vrp,AntColonyAlgorithm,1400.0407551,2.3595824,"[1, 3, 35, 49, 41, 45, 7, 32, 31, 21, 28, 13, 1] [1, 8, 38, 34, 10, 50, 44, 12, 37, 25, 1] [1, 15, 14, 4, 23, 39, 47, 24, 1] [1, 16, 18, 43, 9, 22, 11, 1] [1, 17, 26, 5, 48, 27, 19, 1] [1, 30, 20, 29, 33, 2, 1] [1, 42, 46, 40, 36, 1] [1, 6, 1]",1312,88.04075512616782,6.7104234
B-n51-k7.vrp,AntColonyAlgorithm,1131.5141935,2.4271967,"[1, 6, 37, 41, 17, 11, 18, 39, 3, 35, 44, 1] [1, 34, 20, 4, 49, 36, 2, 21, 1] [1, 19, 30, 40, 14, 1] [1, 12, 5, 43, 15, 27, 29, 1] [1, 22, 45, 10, 50, 31, 23, 25, 46, 1] [1, 24, 51, 16, 48, 26, 47, 8, 7, 1] [1, 42, 28, 32, 38, 33, 13, 9, 1]",1032,99.51419348668173,9.6428482
B-n52-k7.vrp,AntColonyAlgorithm,867.4469852,2.4620765,"[1, 42, 26, 7, 37, 45, 11, 30, 38, 1] [1, 41, 43, 21, 31, 19, 2, 9, 1] [1, 48, 28, 6, 52, 8, 44, 1] [1, 33, 35, 47, 14, 18, 23, 27, 5, 39, 34, 1] [1, 22, 12, 29, 4, 32, 25, 40, 15, 13, 51, 46, 1] [1, 24, 20, 50, 16, 10, 17, 49, 3, 1] [1, 36, 1]",747,120.44698524385888,16.1240944
B-n56-k7.vrp,AntColonyAlgorithm,837.2621835,2.6237659,"[1, 28, 53, 2, 17, 36, 49, 37, 50, 4, 1] [1, 33, 8, 16, 38, 30, 43, 7, 54, 25, 48, 1] [1, 26, 46, 42, 40, 5, 27, 1] [1, 14, 34, 35, 31, 55, 3, 12, 56, 32, 21, 44, 11, 1] [1, 23, 51, 39, 10, 24, 13, 41, 6, 52, 29, 1] [1, 20, 19, 15, 45, 18, 9, 47, 1] [1, 22, 1]",707,130.26218345306722,18.424637
B-n57-k7.vrp,AntColonyAlgorithm,1255.1666538,2.6334238,"[1, 55, 36, 41, 30, 5, 24, 47, 17, 49, 25, 2, 4, 1] [1, 56, 3, 31, 53, 51, 23, 43, 40, 8, 33, 1] [1, 57, 19, 27, 20, 42, 35, 18, 1] [1, 11, 45, 22, 46, 12, 16, 7, 50, 1] [1, 39, 37, 54, 13, 29, 26, 9, 10, 52, 1] [1, 38, 15, 44, 48, 21, 1] [1, 6, 34, 14, 28, 1]",1153,102.16665381276948,8.8609414
B-n57-k9.vrp,AntColonyAlgorithm,1773.384932,2.6809813,"[1, 4, 47, 32, 56, 10, 19, 1] [1, 31, 45, 14, 24, 17, 3, 43, 1] [1, 57, 23, 33, 7, 41, 51, 18, 1] [1, 6, 48, 37, 22, 42, 30, 54, 5, 50, 1] [1, 13, 39, 49, 34, 55, 44, 2, 11, 1] [1, 9, 16, 26, 52, 8, 12, 15, 21, 1] [1, 38, 40, 27, 20, 35, 1] [1, 29, 28, 53, 25, 46, 1] [1, 36, 1]",1598,175.38493195335104,10.9752773
B-n63-k10.vrp,AntColonyAlgorithm,1766.4467413,2.967307,"[1, 29, 30, 33, 14, 56, 61, 1] [1, 49, 6, 17, 41, 4, 32, 1] [1, 45, 5, 50, 57, 60, 1] [1, 16, 48, 10, 31, 9, 47, 26, 12, 1] [1, 11, 38, 43, 62, 23, 35, 40, 1] [1, 21, 37, 8, 28, 2, 51, 19, 1] [1, 34, 27, 36, 7, 52, 22, 53, 1] [1, 20, 3, 63, 42, 15, 59, 55, 13, 25, 1] [1, 18, 44, 24, 39, 58, 54, 1] [1, 46, 1]",1496,270.4467412629381,18.0779907
B-n64-k9.vrp,AntColonyAlgorithm,1045.4395717,2.9915451,"[1, 9, 22, 28, 39, 35, 41, 8, 1] [1, 42, 47, 31, 55, 18, 32, 63, 53, 2, 1] [1, 34, 19, 51, 62, 48, 11, 10, 4, 1] [1, 38, 33, 30, 12, 14, 57, 1] [1, 37, 61, 49, 36, 15, 60, 23, 56, 5, 25, 1] [1, 27, 50, 44, 21, 1] [1, 13, 20, 16, 6, 52, 29, 1] [1, 17, 59, 45, 46, 54, 7, 58, 1] [1, 26, 24, 40, 64, 43, 3, 1]",861,184.4395717039704,21.421553
B-n66-k9.vrp,AntColonyAlgorithm,1449.6917939,3.0977738,"[1, 42, 21, 54, 55, 19, 24, 2, 1] [1, 53, 18, 56, 52, 35, 44, 1] [1, 59, 33, 41, 9, 34, 66, 30, 4, 15, 40, 5, 1] [1, 38, 49, 26, 64, 47, 27, 63, 17, 31, 20, 1] [1, 8, 58, 12, 32, 46, 14, 57, 23, 36, 1] [1, 39, 65, 45, 60, 3, 11, 1] [1, 43, 28, 6, 61, 16, 22, 37, 1] [1, 29, 62, 48, 51, 7, 1] [1, 50, 13, 25, 10, 1]",1316,133.69179391775333,10.1589509
B-n67-k10.vrp,AntColonyAlgorithm,1250.2373967,3.1086521,"[1, 6, 26, 49, 10, 22, 56, 55, 46, 1] [1, 32, 19, 34, 48, 27, 3, 67, 44, 1] [1, 14, 29, 13, 59, 16, 57, 64, 1] [1, 18, 42, 17, 28, 11, 39, 30, 60, 1] [1, 53, 23, 54, 43, 45, 41, 65, 37, 7, 1] [1, 47, 5, 36, 50, 2, 20, 21, 8, 33, 1] [1, 38, 66, 24, 9, 25, 15, 1] [1, 63, 62, 4, 31, 58, 61, 1] [1, 40, 35, 12, 51, 1] [1, 52, 1]",1032,218.2373967058768,21.1470346
B-n68-k9.vrp,AntColonyAlgorithm,1481.733307,3.1915131,"[1, 27, 21, 53, 3, 23, 52, 62, 58, 6, 1] [1, 39, 54, 41, 4, 68, 30, 37, 33, 7, 25, 59, 1] [1, 20, 64, 26, 24, 40, 12, 56, 51, 1] [1, 16, 57, 34, 2, 32, 65, 36, 48, 61, 1] [1, 8, 14, 47, 66, 44, 67, 1] [1, 5, 28, 22, 31, 46, 13, 10, 49, 45, 1] [1, 15, 63, 55, 17, 60, 35, 18, 1] [1, 50, 38, 42, 9, 43, 1] [1, 11, 19, 29, 1]",1272,209.73330702050634,16.4884675
B-n78-k10.vrp,AntColonyAlgorithm,1438.30056,3.7539555,"[1, 18, 73, 59, 39, 70, 68, 44, 22, 53, 1] [1, 25, 2, 57, 48, 28, 64, 50, 66, 76, 1] [1, 3, 6, 31, 38, 71, 30, 32, 1] [1, 78, 24, 45, 27, 12, 65, 41, 54, 26, 1] [1, 51, 62, 40, 14, 49, 29, 75, 1] [1, 9, 23, 72, 13, 35, 16, 52, 8, 33, 1] [1, 63, 10, 5, 34, 56, 36, 15, 42, 37, 20, 11, 1] [1, 58, 74, 77, 47, 46, 1] [1, 4, 21, 55, 60, 7, 17, 43, 1] [1, 69, 19, 67, 61, 1]",1221,217.30055995690077,17.7969337
